MONTH_YEAR / STATION;1043001.00;1043003;1043004;1043006;1043007;1043009;1043010;1043012;1044001;1044003;1044004;1044005;1044006;1044007;1044008;1044009;1045000;1045001;1045002;1045005;1045006;1045007;1045008;1045012;1045013;1045014;1046001;1046002;1046003;1046004;1046005;1046006;1046008;1046009;1046010;1142008;1143000;1143001;1143002;1143003;1143004;1143005;1143006;1143007;1143008;1143009;1143010;1143011;1143012;1143013;1143014;1143016;1143017;1143020;1143021;1143022;1143023;1143024;1143025;1143026;1143027;1143028;1144000;1144002;1144003;1144004;1144005;1144006;1144007;1144008;1144009;1144010;1144011;1144012;1144013;1144014;1144015;1144016;1144017;1144018;1144019;1144020;1144021;1144022;1144023;1144024;1144025;1144026;1144027;1145000;1145001;1145002;1145003;1145004;1145005;1145006;1145007;1145008;1145009;1145010;1145011;1145012;1145013;1145014;1145015;1145016;1145017;1145018;1145019;1145020;1145021;1145022;1145023;1145024;1145025;1145026;1145027;1145028;1145029;1145030;1145031;1145032;1145033;1146000;1146001;1146002;1146003;1146004;1146005;1146006;1146007;1146008;1146009;1146010;1146011;1146012;1146013;1146014;1146015;1146016;1146017;1146018;1146020;1146021;1146022;1146025;1146026;1146027;1146028;1146029;1243000;1243001;1243002;1243008;1243010;1243012;1243013;1243018;1243019;1243020;1244000;1244001;1244002;1244003;1244004;1244005;1244006;1244007;1244008;1244009;1244010;1244011;1244012;1244013;1244014;1244015;1244016;1244017;1244018;1244019;1244020;1244021;1244022;1244023;1244024;1244025;1244026;1244027;1245000;1245001;1245002;1245003;1245004;1245005;1245006;1245007;1245009;1245010;1245011;1245012;1245014;1245015;1245016;1245017;1245018;1245019;1245020;1245021;1245022;1245023;1245024;1245025;1245026;1245027;1245028;1245029;1245030;1245031;1245032;1245033;1245034;1245035;1245036;1245037;1245038;1245039;1245040;1245041;1245042;1245043;1245044;1245045;1245046;1245047;1245048;1245049;1245050;1245051;1245052;1245053;1245054;1245055;1245056;1245057;1245058;1245059;1245060;1245061;1245062;1245063;1246000;1246001;1246002;1246003;1246004;1246005;1246006;1246007;1246008;1246009;1246010;1246011;1246012;1246013;1246014;1246015;1246016;1246017;1246018;1246019;1246020;1246021;1246022;1246023;1343002;1343012;1343017;1344003;1344005;1344008;1344025;1344030;1345002;1345005;1345012;1345016;1345017;1345018;1345019;1346004;1346007;1346010;1346014;1346017;1346018;;;;;
8_2019;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;80.64516129;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;58.06451613;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
9_2019;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;76.66666667;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
10_2019;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;96.77419355;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;80.64516129;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;96.77419355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;93.5483871;93.5483871;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;96.77419355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
11_2019;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;73.33333333;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;90;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
12_2019;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;96.77419355;0;0;0;0;0;0;0;0;77.41935484;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;96.77419355;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
1_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;96.77419355;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;96.77419355;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;93.5483871;0;0;0;0;0;0;0;0;77.41935484;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;90.32258065;100;100;100;0;0;0;0;0;0;0;0;100;100;0;96.77419355;0;0;0;0;100;87.09677419;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
2_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;96.55172414;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;89.65517241;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;89.65517241;100;65.51724138;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;82.75862069;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;51.72413793;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
3_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;93.5483871;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;96.77419355;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;61.29032258;100;100;100;0;0;0;0;0;0;0;0;96.77419355;100;0;100;0;0;0;0;100;90.32258065;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
4_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;96.66666667;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;80;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;96.66666667;83.33333333;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
5_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;96.77419355;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;90.32258065;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
6_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;96.66666667;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
7_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
8_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;45.16129032;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
9_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
10_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;93.5483871;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;93.5483871;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
11_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;96.66666667;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;46.66666667;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
12_2020;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
1_2021;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;93.5483871;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;0;;;;;
2_2021;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;;;;;
3_2021;0.00;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;;;;;
